site_id,delta,vote ,vote_new,site_name_x,year_x,ADDRESS_x,CITY_x,COUNTY_x,STATE_x,ZIP_CODE_x,REGION_x,NPL_STATUS_x,LATITUDE_x,LONGITUDE_x,SITE_SCORE_x,FEDERAL_x,grant_new,f_unemployment,f_owner,f_pop65,income_x,npv_x,lognpv,federal_status_x,president,party,EPA Region,site_type,negotiation_new,work ,PARTY_NUMBER,GENERAL_NOTICE_NUMBER,SPECIAL_NOTICE,negotiation,navy,army,manufacturing,airforce,defense,energy,black,hispanic,male_unemp,female_unemp,higherthan,graduate,grad_new,urban,pop,income_y,unemployment,education,education_new,black_c,hispanic_c,income_c,urban_c
ALD095688875,47,55.6,0.556,STAUFFER CHEMICAL CO. (COLD CREEK PLANT),1980,US HWY 43,BUCKS,MOBILE,AL,36512,4,Currently on the,30.98,-88.02,46.77,G,0,0.1,0.78,0,16620,927900,13.74,0,reagan2,0,4,Manufacturing/Processing/Maintenance,0,EPA lead ,3,0,1,0,0,0,1,0,0,0,6764,178,212,288,4856,362,0.02,3254,20070,16620,0.02,0.26,2.6,0.34,0.01,9.72,0.16
AL7210020742,570,55.6,0.556,USARMY/NASA REDSTONE ARSENAL,1990,,HUNTSVILLE,MADISON,AL,35808,4,Currently on the,34.65,-86.67,50,F,0,0.02,0,0,27963,2287000,14.64,1,clinton1,0,4,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,1498,382,7,81,1858,121,0.02,4988,4988,27963,0.02,0.4,4,0.3,0.08,10.24,1
ALD980728703,426,55.6,0.556,PERDIDO GROUND WATER CONTAMINATION,1980,COUNTY RD 47 S,PERDIDO,BALDWIN,AL,36562,4,Currently on the,31.01,-87.63,30.29,G,0,0.02,0.31,0,11973,99000,11.5,0,reagan1,1,4,Other,0,PRP lead ,2,1,0,0,0,0,0,0,0,0,93,19,21,17,413,33,0.02,0,2027,11973,0.02,0.22,2.2,0.05,0.01,9.39,0
ARD000023440,426,49.4,0.494,"VERTAC, INC.",1980,MARSHALL RD,JACKSONVILLE,PULASKI,AR,72076,6,Currently on the,34.88,-92.13,65.46,G,0,0.02,0,0,6779.75,38000000,17.45,0,reagan1,1,6,Manufacturing/Processing/Maintenance,1,PRP lead ,15,2,0,0,0,0,1,0,0,0,1075,256,10,108,2000,216,0.03,6962,6962,12119,0.02,0.32,3.2,0.15,0.04,9.4,1
AZ0570024133,661,46.7,0.467,LUKE AIR FORCE BASE,1990,S RT 8 YUMA THRU GILA BEND,GLENDALE,MARICOPA,AZ,85309,9,Deleted from the,33.54,-112.36,41,F,0,0.05,0.21,0.05,26512,96543,11.48,1,bush_father,0,9,US Air Force,1,PRP lead ,9,7,0,0,0,0,0,1,0,0,702,1314,98,128,3709,174,0.02,407,9376,26512,0.02,0.41,4.1,0.07,0.14,10.19,0.04
AZ0971590062,471,46.7,0.467,YUMA MARINE CORPS AIR STATION,1990,AVENUE 3E,YUMA,YUMA,AZ,85369,9,Currently on the,32.65,-114.59,32.24,F,0,0.16,0.63,0.53,20016.33,8012000,15.9,1,bush_father,0,9,US Navy,1,PRP lead ,,,,0,1,0,0,0,0,0,707,5066,491,508,6701,475,0.03,4377,17884,20016.33,0.06,0.4,4,0.04,0.28,9.9,0.24
AZ7570028582,379,46.7,0.467,WILLIAMS AIR FORCE BASE,1980,WILLIAMS AFB,CHANDLER,MARICOPA,AZ,85224,9,Currently on the,33.31,-111.65,37.93,F,0,0.02,0.21,0.05,31341,1100000,13.91,1,bush_father,0,9,US Air Force,1,PRP lead ,9,7,0,0,0,0,0,1,0,0,413,208,7,40,809,271,0.08,0,3435,12544,0.01,0.31,3.1,0.12,0.06,9.44,0
AZD008399263,661,46.7,0.467,APACHE POWDER CO.,1990,1436 S APACHE POWDER RD,SAINT DAVID,COCHISE,AZ,85630,9,Currently on the,31.88,-110.24,39.09,G,0,0.02,0.3,0.22,18727,13739407,16.44,0,bush_father,0,9,Manufacturing/Processing/Maintenance,0,PRP lead ,2,2,1,0,0,0,1,0,0,0,23,1207,136,60,3823,264,0.03,0,7974,18727,0.02,0.51,5.1,0,0.15,9.84,0
AZD009004177,331,46.7,0.467,"MOTOROLA, INC. (52ND STREET PLANT)",1980,5005 E MCDOWELL RD,PHOENIX,MARICOPA,AZ,85008,9,Currently on the,33.46,-111.97,40.83,G,1,0.24,1.06,0.74,24101.67,7600000,15.84,0,bush_father,0,9,Manufacturing/Processing/Maintenance,1,PRP lead ,26,0,9,0,0,0,1,0,0,0,428,1738,251,218,6067,1776,0.11,15830,15830,15533.5,0.03,0.5,5,0.03,0.11,9.65,1
AZD980695902,426,46.7,0.467,PHOENIX-GOODYEAR AIRPORT AREA,1980,BETWEEN LWR BUCKEYE ROAD & VAN BU,GOODYEAR,MARICOPA,AZ,85338,9,Currently on the,33.43,-112.37,45.91,G,0,0.05,0.43,0.01,9579.75,1870000,14.44,0,reagan1,0,9,Other,0,PRP lead ,9,8,0,0,0,0,0,0,0,0,621,3926,76,76,1533,211,0.02,0,9770,9439.67,0.02,0.18,1.8,0.06,0.4,9.15,0
AZD980695969,426,46.7,0.467,INDIAN BEND WASH AREA,1980,MCDOWELL RD & HAYDEN,SCOTTSDALE,MARICOPA,AZ,85253,9,Currently on the,33.47,-111.91,42.24,G,1,0.16,1.87,0.01,18854.71,132775800,18.7,0,reagan1,0,9,Other,0,PRP lead ,93,42,17,0,0,0,0,0,0,0,152,1471,384,316,11589,3795,0.12,27336,31774,18854.71,0.02,0.48,4.8,0,0.05,9.84,0.86
AZD980735666,474,46.7,0.467,HASSAYAMPA LANDFILL,1980,OLD WICKENBURG RD,HASSAYAMPA,MARICOPA,AZ,85343,9,Currently on the,33.37,-112.75,42.79,G,0,0.03,0.24,0.07,29396,9200000,16.03,0,reagan2,0,9,Waste Management,1,PRP lead ,110,8,0,0,0,0,0,0,0,0,67,1035,81,105,1736,310,0.05,0,6543,18302,0.03,0.31,3.1,0.01,0.16,9.81,0
CA0210020780,474,46.4,0.464,SACRAMENTO ARMY DEPOT,1980,8350 FRUITRIDGE RD,SACRAMENTO,SACRAMENTO,CA,95813,9,Currently on the,38.52,-121.4,44.46,F,0,0.16,1.15,0.77,26014.4,5020000,15.43,1,reagan2,1,9,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,1622,1236,272,146,4047,736,0.06,11408,11408,18076,0.04,0.42,4.2,0.14,0.11,9.8,1
CA2170090078,474,46.4,0.464,MOFFETT NAVAL AIR STATION,1980,MOFFETT FIELD NAS,MOFFETT FIELD,SANTA CLARA,CA,94035,9,Currently on the,37.41,-122.05,29.49,F,0,0.49,2.65,1.04,42902.39,2600000,14.77,1,reagan2,1,9,National Aeronautics and Space Administration,1,PRP lead ,,,,0,0,0,0,0,0,0,1666,665,0,0,2597,714,0.06,11298,11298,27250,0,0.29,2.9,0.15,0.06,10.21,1
CA2890012584,474,46.4,0.464,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USD",1980,7000 EAST AVE,LIVERMORE,ALAMEDA,CA,94550,9,Currently on the,37.69,-121.7,42.24,F,0,0.04,0.52,0.17,57858.5,684000,13.44,1,reagan2,1,9,Department of Energy,1,PRP lead ,,,,1,0,0,0,0,0,1,190,1067,120,178,4534,2404,0.17,12175,14357,28190,0.02,0.48,4.8,0.01,0.07,10.25,0.85
CA3570024551,474,46.4,0.464,CASTLE AIR FORCE BASE (6 AREAS),1980,CASTLE AFB,MERCED,MERCED,CA,95342,9,Currently on the,37.37,-120.56,37.93,F,0,0.12,0.46,0.18,27302.67,1,0,1,reagan2,1,9,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,1933,3204,438,601,6928,1287,0.06,0,23326,15166,0.04,0.35,3.5,0.08,0.14,9.63,0
CA4570024337,474,46.4,0.464,MCCLELLAN AIR FORCE BASE (GROUND WATER CONT,1980,APPROX 5200 WATT AVE,MCCLELLAN AFB,SACRAMENTO,CA,95652,9,Currently on the,38.66,-121.4,57.93,F,0,0.22,0.97,0.41,26900,1026560,13.84,1,reagan2,1,9,Manufacturing/Processing/Maintenance,1,EPA lead ,2,0,0,0,0,0,1,0,0,0,203,107,0,0,376,78,0.05,1541,1541,13077,0,0.29,2.9,0.13,0.07,9.48,1
CA4570024337,474,46.4,0.464,MCCLELLAN AIR FORCE BASE (GROUND WATER CONT,1980,APPROX 5200 WATT AVE,MCCLELLAN AFB,SACRAMENTO,CA,95652,9,Currently on the,38.66,-121.4,57.93,F,0,0.22,0.97,0.41,26900,1026560,13.84,1,reagan2,1,9,US Air Force,1,PRP lead ,2,0,0,0,0,0,0,1,0,0,203,107,0,0,376,78,0.05,1541,1541,13077,0,0.29,2.9,0.13,0.07,9.48,1
CA4570024345,474,46.4,0.464,NORTON AIR FORCE BASE (LNDFLL #2),1980,I-10/US 395 FORMER NORTON AFB,SAN BERNARDIN,SAN BERNARDINO,CA,92408,9,Currently on the,34.1,-117.24,39.65,F,0,0.31,0.78,0.43,29484,3400000,15.04,1,reagan2,1,9,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,2578,4911,750,380,7379,1042,0.04,26392,27132,14598.67,0.04,0.31,3.1,0.1,0.18,9.59,0.97
CA8570024143,474,46.4,0.464,MATHER AIR FORCE BASE (AC&W DISPOSAL SITE),1980,MATHER AIR FORCE BASE,MATHER,SACRAMENTO,CA,95655,9,Currently on the,38.56,-121.3,28.9,F,0,0.15,0.49,0.17,30297,108000,11.59,1,reagan2,1,9,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,2845,1454,468,448,6742,1592,0.08,20198,20827,14752.5,0.04,0.4,4,0.14,0.07,9.6,0.97
CAD001864081,580,46.4,0.464,WESTINGHOUSE ELECTRIC CORP. (SUNNYVALE PLAN,1980,401 HENDY AVENUE,SUNNYVALE,SANTA CLARA,CA,95117,9,Currently on the,37.38,-122.02,39.93,G,0,1.16,6.39,3.24,43926.33,6500000,15.69,0,reagan2,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,1,0,0,0,0,0,1,0,0,0,1034,8824,500,600,12546,3458,0.09,37354,37354,19500.75,0.03,0.43,4.3,0.03,0.24,9.88,1
CAD009112087,47,46.4,0.464,"KOPPERS CO., INC. (OROVILLE PLANT)",1980,BAGGETT-MARYSVILLE RD,OROVILLE,BUTTE,CA,95965,9,Currently on the,39.47,-121.56,33.73,G,0,0.25,0.82,0.01,11455.5,606000,13.31,0,reagan2,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,4,0,0,0,0,0,1,0,0,0,2764,2069,1485,1089,10744,1070,0.03,0,38568,10850.44,0.07,0.31,3.1,0.07,0.05,9.29,0
CAD009205097,580,46.4,0.464,RAYTHEON CORP.,1980,350 ELLIS ST,MOUNTAIN VIEW,SANTA CLARA,CA,94043,9,Currently on the,37.4,-122.05,29.76,G,0,0.76,6.11,2.35,44592.35,56000000,17.84,0,reagan2,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,17,18,0,0,0,0,1,0,0,0,1311,1258,66,39,3589,1230,0.1,12689,12689,24321,0.01,0.38,3.8,0.1,0.1,10.1,1
CAD061620217,580,46.4,0.464,INTEL CORP. (MOUNTAIN VIEW PLANT),1980,365 E MIDDLEFIELD RD,MOUNTAIN VIEW,SANTA CLARA,CA,94040,9,Currently on the,37.4,-122.06,29.76,G,0,0.69,7.7,2.83,44571.72,56000000,17.84,0,reagan2,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,18,18,0,0,0,0,1,0,0,0,1013,2197,193,78,5223,2058,0.13,15824,15824,20634.38,0.02,0.46,4.6,0.06,0.14,9.93,1
CAD980496863,47,46.4,0.464,ATLAS ASBESTOS MINE,1980,LOS GATOS CREEK RD NW OF FRESNO,COALINGA,FRESNO,CA,93210,9,Currently on the,36.32,-120.59,45.55,G,0,0,0.01,0.01,5000,4286000,15.27,0,reagan2,1,9,Mining,0,PRP lead ,17,13,2,0,0,0,0,0,0,0,7,751,0,0,0,0,0,0,1224,1,0,0,0,0.01,0.61,0,0
CAD980817985,183,46.4,0.464,SAN GABRIEL VALLEY (AREA 4),1980,STIMSON AVE & OLD VALLEY BLVD,LA PUENTE,LOS ANGELES,CA,91744,9,Currently on the,34.02,-117.96,28.9,G,0,0.12,0.58,0.06,9316.44,27798,10.23,0,reagan2,1,9,Other,0,PRP lead ,249,212,23,0,0,0,0,0,0,0,1389,16071,520,327,6742,760,0.03,28462,28462,13462,0.03,0.26,2.6,0.05,0.56,9.51,1
CAD980884357,474,46.4,0.464,"WASTE DISPOSAL, INC.",1980,12731 E LOS NIETOS RD,SANTA FE SPRI,LOS ANGELES,CA,90670,9,Currently on the,33.95,-118.06,34.6,G,0,0.24,1.37,0.7,36312,7830000,15.87,0,reagan2,1,9,Waste Management,0,PRP lead ,107,99,32,0,0,0,0,0,0,0,65,8231,244,185,3888,436,0.03,13839,13839,18850,0.03,0.31,3.1,0,0.59,9.84,1
CAD980894893,580,46.4,0.464,SAN FERNANDO VALLEY (AREA 1),1980,NORTH HOLLYWOOD WELLFIELD AREA,NORTH HOLLYWO,LOS ANGELES,CA,91601,9,Currently on the,34.19,-118.35,42.24,G,0,0.35,2.07,1.33,33978,134181220,18.71,0,reagan2,1,9,Other,0,EPA lead ,64,39,0,0,0,0,0,0,0,0,144,6695,432,276,14097,2356,0.07,35208,35208,18485.33,0.02,0.47,4.7,0,0.19,9.82,1
CAD980894901,580,46.4,0.464,SAN FERNANDO VALLEY (AREA 2),1980,CRYSTAL SPRINGS WELLFIELD AREA,GLENDALE,LOS ANGELES,CA,91209,9,Currently on the,34.16,-118.29,42.24,G,0,0.4,1.64,1.4,37850.18,108000000,18.5,0,reagan2,1,9,Other,1,EPA lead ,115,61,0,0,0,0,0,0,0,0,328,11697,554,418,14383,4271,0.1,41789,41789,19290.13,0.02,0.45,4.5,0.01,0.28,9.87,1
CAT080012024,580,46.4,0.464,"OPERATING INDUSTRIES, INC., LANDFILL",1980,900 N POTRERO GRANDE DR,MONTEREY PARK,LOS ANGELES,CA,91754,9,Currently on the,34.03,-118.11,57.22,G,0,0.17,1.33,0.69,42853.5,162000,12,0,reagan2,1,9,Waste Management,0,EPA lead ,1211,194,0,0,0,0,0,0,0,0,37,4200,131,114,3648,1664,0.14,11506,11506,25979,0.02,0.46,4.6,0,0.37,10.17,1
CA1170090087,379,46.4,0.464,TREASURE ISLAND NAVAL STATION-HUNTERS POINT,1980,HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,SAN FRANCISCO,CA,94124,9,Currently on the,37.72,-122.37,48.77,F,0,0.2,0.76,0.55,25523,11161000,16.23,1,bush_father,1,9,US Navy,1,PRP lead ,2,1,0,0,1,0,0,0,0,0,10087,798,378,221,3424,470,0.04,12749,12749,16006.8,0.05,0.31,3.1,0.79,0.06,9.68,1
CA1570024504,661,46.4,0.464,EDWARDS AIR FORCE BASE,1990,AFFTC EDWARDS AFB,EDWARDS AFB,KERN,CA,93524,9,Currently on the,34.95,-117.89,33.62,F,0,0.02,0.02,0,27852,1,0,1,bush_father,1,9,US Air Force,1,PRP lead ,7,7,0,0,0,0,0,1,0,0,851,576,30,113,3187,317,0.04,0,7423,27852,0.02,0.47,4.7,0.11,0.08,10.23,0
CA2170023533,379,46.4,0.464,CAMP PENDLETON MARINE CORPS BASE,1980,CAMP PENDLETON MARINE BASE,CAMP PENDLETO,SAN DIEGO,CA,92055,9,Currently on the,33.31,-117.34,33.79,F,0,0.01,0.01,0,25729,2909000,14.88,1,bush_father,1,9,US Navy,1,PRP lead ,8,8,0,0,1,0,0,0,0,0,5263,3727,19,179,4084,632,0.02,7952,26705,12680,0.01,0.18,1.8,0.2,0.14,9.45,0.3
CA2570024453,471,46.4,0.464,GEORGE AIR FORCE BASE,1990,AIR BASE RD- NR ST RTE 395,VICTORVILLE,SAN BERNARDINO,CA,92392,9,Currently on the,34.6,-117.38,33.62,F,0,0.07,0.16,0.07,21801,1200,7.09,1,bush_father,1,9,US Air Force,1,PRP lead ,6,6,0,0,0,0,0,1,0,0,2258,2699,379,291,6660,168,0.01,7231,17204,21801,0.04,0.4,4,0.13,0.16,9.99,0.42
CA2890090002,661,46.4,0.464,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USD,1990,CORRAL HOLLOW ROAD,TRACY,SAN JOAQUIN,CA,95376,9,Currently on the,37.64,-121.58,31.58,F,0,0.02,0.28,0.09,65435,4500000,15.32,1,bush_father,1,9,Department of Energy,1,PRP lead ,,,,0,0,0,0,0,0,1,33,278,34,23,1754,444,0.12,1925,3569,65435,0.02,0.62,6.2,0.01,0.08,11.09,0.54
CA4570024527,379,46.4,0.464,MARCH AIR FORCE BASE,1980,22 CSG/CC,RIVERSIDE,RIVERSIDE,CA,92518,9,Currently on the,33.91,-117.26,31.94,F,1,0.1,0.34,0.16,30449.33,3402700,15.04,1,bush_father,1,9,US Air Force,1,PRP lead ,4,4,0,0,0,0,0,1,0,0,733,363,11,6,1096,169,0.05,0,3607,13276,0,0.35,3.5,0.2,0.1,9.49,0
CA4971520834,661,46.4,0.464,TRACY DEFENSE DEPOT (USARMY),1990,CHRISMAN RD,TRACY,SAN JOAQUIN,CA,95376,9,Currently on the,37.72,-121.39,37.16,F,1,0.05,0.37,0.19,36901.5,1,0,1,bush_father,1,9,Defense Logistics Agency,1,PRP lead ,,,,0,0,0,0,0,0,0,1092,2246,63,105,3893,203,0.02,0,8714,36901.5,0.02,0.47,4.7,0.13,0.26,10.52,0
CA5570024575,379,46.4,0.464,TRAVIS AIR FORCE BASE,1980,TRAVIS AFB,TRAVIS AFB,SOLANO,CA,94535,9,Currently on the,38.26,-121.93,29.49,F,1,0.03,0.4,0.31,27520,270000,12.51,1,bush_father,1,9,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,2207,1355,73,209,4896,759,0.05,11183,15493,15107.5,0.02,0.37,3.7,0.14,0.09,9.62,0.72
CA6170023208,471,46.4,0.464,EL TORO MARINE CORPS AIR STATION,1990,EL TORO MARINE CORPS AIR STA,EL TORO,ORANGE,CA,92709,9,Currently on the,33.68,-117.72,37.43,F,1,0.02,0.33,0.03,46946,101400,11.53,1,bush_father,1,9,US Navy,1,PRP lead ,7,7,0,0,1,0,0,0,0,0,1208,1733,16,56,4031,306,0.03,10758,10904,46946,0.01,0.4,4,0.11,0.16,10.76,0.99
CA7210020676,471,46.4,0.464,FORT ORD,1990,FORMER ARMY BASE FORT ORD,MARINA,MONTEREY,CA,93933,9,Currently on the,36.63,-121.75,42.24,F,1,0.01,0,0,23084,149000,11.91,1,bush_father,1,9,US Army,1,PRP lead ,2,1,0,0,0,1,0,0,0,0,7313,3476,42,335,9899,550,0.02,25009,28591,23084,0.01,0.37,3.7,0.26,0.12,10.05,0.87
CA7210020759,471,46.4,0.464,RIVERBANK ARMY AMMUNITION PLANT,1990,5300 CLAUS RD,RIVERBANK,STANISLAUS,CA,95367,9,Currently on the,37.72,-120.92,63.94,F,0,0.11,0.48,0.21,33309.5,8720000,15.98,1,bush_father,1,9,US Army,1,PRP lead ,1,1,0,0,0,1,0,0,0,0,39,4073,394,386,4116,326,0.03,0,12232,33309.5,0.06,0.36,3.6,0,0.33,10.41,0
CA9800013030,24,46.4,0.464,JET PROPULSION LABORATORY (NASA),1990,4800 OAK GROVE DR,PASADENA,LOS ANGELES,CA,91109,9,Currently on the,34.2,-118.17,50,F,0,0.19,1.93,0.83,61394.29,68397000,18.04,1,bush_father,1,9,National Aeronautics and Space Administration,1,PRP lead ,,,,0,0,0,0,0,0,0,9523,3631,485,344,13122,3357,0.11,29714,29714,61394.29,0.03,0.55,5.5,0.32,0.12,11.03,1
CAD008242711,331,46.4,0.464,MONTROSE CHEMICAL CORP.,1980,20201 S NORMANDIE AVE,TORRANCE,LOS ANGELES,CA,90502,9,Currently on the,33.85,-118.3,32.1,G,0,0.33,2.02,0.96,40545.9,53761000,17.8,0,bush_father,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,19,0,0,0,0,0,1,0,0,0,1213,4488,289,217,6074,827,0.05,18339,18339,18918.6,0.03,0.38,3.8,0.07,0.24,9.85,1
CAD009103318,331,46.4,0.464,JASCO CHEMICAL CORP.,1980,1710 VILLA ST,MOUNTAIN VIEW,SANTA CLARA,CA,94041,9,Currently on the,37.4,-122.09,35.36,G,0,0.86,8.34,4.26,44377.18,370000,12.82,0,bush_father,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,3,1,0,0,0,0,1,0,0,0,588,3479,425,132,8034,4576,0.2,22766,22766,20357,0.02,0.55,5.5,0.03,0.15,9.92,1
CAD009106527,24,46.4,0.464,MCCORMICK & BAXTER CREOSOTING CO.,1990,1214 W WASHINGTON ST,STOCKTON,SAN JOAQUIN,CA,95203,9,Currently on the,37.95,-121.31,74.86,G,0,0.69,0.99,1.09,17878.33,4000000,15.2,0,bush_father,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,3,3,0,0,0,0,1,0,0,0,4571,16136,1684,1120,10846,507,0.01,40989,40996,17878.33,0.07,0.28,2.8,0.11,0.39,9.79,1
CAD009212838,471,46.4,0.464,"CTS PRINTEX, INC.",1990,PLYMOUTH & COLONY STS,MOUNTAIN VIEW,SANTA CLARA,CA,94043,9,Currently on the,37.42,-122.09,33.62,G,0,0.48,4.49,2.45,44983.79,1766000,14.38,0,bush_father,1,9,Manufacturing/Processing/Maintenance,0,PRP lead ,3,0,0,0,0,0,1,0,0,0,2362,4536,440,293,18782,4973,0.13,38459,38459,45268.17,0.02,0.62,6.2,0.06,0.12,10.72,1
