site_id,SITE_NAME,ADDRESS,CITY,COUNTY,STATE,ZIP_CODE,REGION,NPL_STATUS,LATITUDE,LONGITUDE,SITE_SCORE,FEDERAL,final_date,completion_date,deletion_date,NPL_STAT
ARD980864110,MONROE AUTO EQUIPMENT CO. (PARAGOULD PIT),HWY 358 2 1/2 MI W OF TOWN,PARAGOULD,GREENE,AR,72450,6,Currently on the,36.02083,-90.575,,G,8/30/1990,9/19/2001,9/29/2014,completed
ARD981055809,ROGERS ROAD MUNICIPAL LANDFILL,ROGER RD 2/10MI S OF GRAHAM RD,JACKSONVILLE,PULASKI,AR,72076,6,Deleted from the,34.8627,-92.0778,,G,7/22/1987,9/25/1995,10/12/2010,completed
ARD990660649,CEDAR CHEMICAL CORPORATION,49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH),WEST HELENA,PHILLIPS,AR,72342,6,Currently on the,34.5206,-90.6517,,G,9/18/2012,10/10/2050,,
ASD980637656,TAPUTIMU FARM,TAPUTIMU ISLAND OF TUTUILA,PAGO PAGO,,AS,96799,9,Deleted from the,-14.3601,-170.772,,G,9/8/1983,3/7/1986,3/7/1986,completed
AZ0000309013,IRON KING MINE - HUMBOLDT SMELTER,"PARTS OF SECS 15,16&22, TWP 13N, RNG 1E",Dewey-Humbold,YAVAPAI,AZ,86327,9,Currently on the,34.503333,-112.236667,52.69,G,9/3/2008,10/10/2050,,
AZ0570024133,LUKE AIR FORCE BASE,S RT 8 YUMA THRU GILA BEND,GLENDALE,MARICOPA,AZ,85309,9,Deleted from the,33.54,-112.3567,,F,8/30/1990,9/25/2000,4/22/2002,completed
AZ0971590062,YUMA MARINE CORPS AIR STATION,AVENUE 3E,YUMA,YUMA,AZ,85369,9,Currently on the,32.65458,-114.5888,32.24,F,2/21/1990,9/20/2000,,completed
AZ7570028582,WILLIAMS AIR FORCE BASE,WILLIAMS AFB,CHANDLER,MARICOPA,AZ,85224,9,Currently on the,33.30695,-111.6519,37.93,F,11/21/1989,10/10/2050,,
AZD008399263,APACHE POWDER CO.,1436 S APACHE POWDER RD,SAINT DAVID,COCHISE,AZ,85630,9,Currently on the,31.88,-110.24,39.09,G,8/30/1990,9/26/2008,,completed
AZD009004177,"MOTOROLA, INC. (52ND STREET PLANT)",5005 E MCDOWELL RD,PHOENIX,MARICOPA,AZ,85008,9,Currently on the,33.46166,-111.9708,40.83,G,10/4/1989,10/10/2050,,
AZD980496780,NINETEENTH AVENUE LANDFILL,19TH AVE,PHOENIX,MARICOPA,AZ,85041,9,Deleted from the,33.41666,-112.0917,,G,7/15/1983,2/17/1998,9/25/2006,completed
AZD980695902,PHOENIX-GOODYEAR AIRPORT AREA,BETWEEN LWR BUCKEYE ROAD & VAN BUREN,GOODYEAR,MARICOPA,AZ,85338,9,Currently on the,33.42971,-112.3653,45.91,G,9/8/1983,10/10/2050,,
AZD980695969,INDIAN BEND WASH AREA,MCDOWELL RD & HAYDEN,SCOTTSDALE,MARICOPA,AZ,85253,9,Currently on the,33.46666,-111.9083,42.24,G,9/8/1983,9/28/2006,,completed
AZD980735666,HASSAYAMPA LANDFILL,OLD WICKENBURG RD,HASSAYAMPA,MARICOPA,AZ,85343,9,Currently on the,33.36833,-112.7483,42.79,G,7/22/1987,9/30/1997,,completed
AZD980735724,MOUNTAIN VIEW MOBILE HOME ESTATES,RTE 77,GLOBE,GILA,AZ,85501,9,Deleted from the,33.3728,-110.7332,,G,9/8/1983,4/18/1988,4/18/1988,completed
AZD980737530,TUCSON INTERNATIONAL AIRPORT AREA,NOGALES HWY,TUCSON,PIMA,AZ,85734,9,Currently on the,32.10556,-110.9333,57.8,G,9/8/1983,10/10/2050,,
CA0001576081,AMCO CHEMICAL,1414 THIRD STREET,OAKLAND,ALAMEDA,CA,94607,9,Currently on the,37.8025,-122.29375,50,G,9/29/2003,10/10/2050,,
CA0001900463,NEW IDRIA MERCURY MINE,"TOWNSHIP: 17S, RANGE: 12E",IDRIA,SAN BENITO,CA,95043,9,Currently on the,36.412778,-120.674444,31.66,G,9/16/2011,10/10/2050,,
CA0210020780,SACRAMENTO ARMY DEPOT,8350 FRUITRIDGE RD,SACRAMENTO,SACRAMENTO,CA,95813,9,Currently on the,38.52028,-121.3958,44.46,F,7/22/1987,8/28/2002,,completed
CA1141190578,KLAU/BUENA VISTA MINE,"T 26S, R 10E, SEC 33, S1/2 MT DIABLO MER",PASO ROBLES,SAN LUIS OBISPO,CA,93446,9,Currently on the,35.6259,-120.8967,50,G,4/19/2006,10/10/2050,,
CA1170090087,TREASURE ISLAND NAVAL STATION-HUNTERS POINT,HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,SAN FRANCISCO,CA,94124,9,Currently on the,37.72229,-122.36732,48.77,F,11/21/1989,10/10/2050,,
CA1570024504,EDWARDS AIR FORCE BASE,AFFTC EDWARDS AFB,EDWARDS AFB,KERN,CA,93524,9,Currently on the,34.94943,-117.8857,33.62,F,8/30/1990,10/10/2050,,
CA2170023236,ALAMEDA NAVAL AIR STATION,W END CITY OF ALAMEDA,ALAMEDA,ALAMEDA,CA,94501,9,Currently on the,37.78888,-122.33,50,F,7/22/1999,10/10/2050,,
CA2170023533,CAMP PENDLETON MARINE CORPS BASE,CAMP PENDLETON MARINE BASE,CAMP PENDLETO,SAN DIEGO,CA,92055,9,Currently on the,33.30666,-117.3408,33.79,F,11/21/1989,10/10/2050,,
CA2170090078,MOFFETT NAVAL AIR STATION,MOFFETT FIELD NAS,MOFFETT FIELD,SANTA CLARA,CA,94035,9,Currently on the,37.41138,-122.0522,29.49,F,7/22/1987,10/10/2050,,
CA2570024453,GEORGE AIR FORCE BASE,AIR BASE RD- NR ST RTE 395,VICTORVILLE,SAN BERNARDINO,CA,92392,9,Currently on the,34.595,-117.3833,33.62,F,2/21/1990,10/10/2050,,
CA2890012584,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USD",7000 EAST AVE,LIVERMORE,ALAMEDA,CA,94550,9,Currently on the,37.68806,-121.7047,42.24,F,7/22/1987,8/10/2007,,completed
CA2890090002,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USD,CORRAL HOLLOW ROAD,TRACY,SAN JOAQUIN,CA,95376,9,Currently on the,37.6443,-121.57666,31.58,F,8/30/1990,10/10/2050,,
CA2890190000,LABORATORY FOR ENERGY-RELATED HEALTH RESEAR,OLD DAVIS RD,DAVIS,SOLANO,CA,95616,9,Currently on the,38.51875,-121.75125,50,F,5/31/1994,10/10/2050,,
CA3570024551,CASTLE AIR FORCE BASE (6 AREAS),CASTLE AFB,MERCED,MERCED,CA,95342,9,Currently on the,37.36736,-120.5636,37.93,F,7/22/1987,9/21/2006,,completed
CA4570024337,MCCLELLAN AIR FORCE BASE (GROUND WATER CONT,APPROX 5200 WATT AVE,MCCLELLAN AFB,SACRAMENTO,CA,95652,9,Currently on the,38.66,-121.3994,57.93,F,7/22/1987,10/10/2050,,
CA4570024345,NORTON AIR FORCE BASE (LNDFLL #2),I-10/US 395 FORMER NORTON AFB,SAN BERNARDIN,SAN BERNARDINO,CA,92408,9,Currently on the,34.09806,-117.2372,39.65,F,7/22/1987,5/16/2006,,completed
CA4570024527,MARCH AIR FORCE BASE,22 CSG/CC,RIVERSIDE,RIVERSIDE,CA,92518,9,Currently on the,33.90638,-117.2557,31.94,F,11/21/1989,10/10/2050,,
CA4971520834,TRACY DEFENSE DEPOT (USARMY),CHRISMAN RD,TRACY,SAN JOAQUIN,CA,95376,9,Currently on the,37.71528,-121.3911,37.16,F,8/30/1990,9/26/2012,,completed
CA5570024575,TRAVIS AIR FORCE BASE,TRAVIS AFB,TRAVIS AFB,SOLANO,CA,94535,9,Currently on the,38.26445,-121.9332,29.49,F,11/21/1989,10/10/2050,,
CA6170023208,EL TORO MARINE CORPS AIR STATION,EL TORO MARINE CORPS AIR STA,EL TORO,ORANGE,CA,92709,9,Currently on the,33.67666,-117.7176,37.43,F,2/21/1990,10/10/2050,,
CA7170024528,CONCORD NAVAL WEAPONS STATION,PORT CHICAGO HWY,CONCORD,CONTRA COSTA,CA,94520,9,Currently on the,38.04944,-122,50,F,12/16/1994,10/10/2050,,
CA7210020676,FORT ORD,FORMER ARMY BASE FORT ORD,MARINA,MONTEREY,CA,93933,9,Currently on the,36.625,-121.75,42.24,F,2/21/1990,10/10/2050,,
CA7210020759,RIVERBANK ARMY AMMUNITION PLANT,5300 CLAUS RD,RIVERBANK,STANISLAUS,CA,95367,9,Currently on the,37.71695,-120.9181,63.94,F,2/21/1990,9/30/1997,,completed
CA8170024261,BARSTOW MARINE CORPS LOGISTICS BASE,MARINE CORPS LOGIS BASE- NEBO,BARSTOW,SAN BERNARDINO,CA,92311,9,Currently on the,34.87833,-116.9389,37.93,F,11/21/1989,10/10/2050,,
CA8210020832,SHARPE ARMY DEPOT,700 EAST ROTH RD,LATHROP,SAN JOAQUIN,CA,95330,9,Currently on the,37.82916,-121.2672,42.24,F,7/22/1987,6/27/2003,,completed
CA8570024143,MATHER AIR FORCE BASE (AC&W DISPOSAL SITE),MATHER AIR FORCE BASE,MATHER,SACRAMENTO,CA,95655,9,Currently on the,38.55695,-121.2972,28.9,F,7/22/1987,9/29/2009,,completed
CA9800013030,JET PROPULSION LABORATORY (NASA),4800 OAK GROVE DR,PASADENA,LOS ANGELES,CA,91109,9,Currently on the,34.20118,-118.16743,50,F,10/14/1992,10/10/2050,,
CAD000074120,MGM BRAKES,HWY 101 & SANTANA RD,CLOVERDALE,SONOMA,CA,95425,9,Currently on the,38.784,-123.0109,34.7,G,9/8/1983,9/9/1994,,completed
CAD000625731,J.H. BAXTER & CO.,422 MILL ST,WEED,SISKIYOU,CA,96094,9,Currently on the,41.4364,-122.3707,34.78,G,10/4/1989,9/14/2001,,completed
CAD000626176,DEL NORTE PESTICIDE STORAGE,2650 WASHINGTON BLVD,CRESCENT CITY,DEL NORTE,CA,95531,9,Deleted from the,41.77333,-124.2317,,G,7/15/1984,6/18/1992,9/18/2002,completed
CAD001864081,WESTINGHOUSE ELECTRIC CORP. (SUNNYVALE PLAN,401 HENDY AVENUE,SUNNYVALE,SANTA CLARA,CA,95117,9,Currently on the,37.3787,-122.0225,39.93,G,6/10/1986,9/27/2000,,completed
CAD008242711,MONTROSE CHEMICAL CORP.,20201 S NORMANDIE AVE,TORRANCE,LOS ANGELES,CA,90502,9,Currently on the,33.84833,-118.2983,32.1,G,10/4/1989,10/10/2050,,
CAD008339467,JERVIS B. WEBB CO.,9301 RAYO AVE AND 5030 FIRESTONE BLVD,SOUTH GATE,LOS ANGELES,CA,90280,9,Currently on the,33.950278,-118.176946,45.76,G,5/10/2012,10/10/2050,,
CAD009103318,JASCO CHEMICAL CORP.,1710 VILLA ST,MOUNTAIN VIEW,SANTA CLARA,CA,94041,9,Currently on the,37.3988,-122.0882,35.36,G,10/4/1989,9/20/2002,,completed
CAD009106220,T.H. AGRICULTURE & NUTRITION CO.,7183 E MCKINLEY AVE,FRESNO,FRESNO,CA,93727,9,Deleted from the,36.76472,-119.6605,,G,6/10/1986,6/24/2004,8/21/2006,completed
CAD009106527,MCCORMICK & BAXTER CREOSOTING CO.,1214 W WASHINGTON ST,STOCKTON,SAN JOAQUIN,CA,95203,9,Currently on the,37.94785,-121.30663,74.86,G,10/14/1992,10/10/2050,,
CAD009111444,TELEDYNE SEMICONDUCTOR,1300 TERRA BELLA AVE,MOUNTAIN VIEW,SANTA CLARA,CA,94043,9,Currently on the,37.4108,-122.0797,35.35,G,7/22/1987,3/31/1992,,completed
CAD009112087,"KOPPERS CO., INC. (OROVILLE PLANT)",BAGGETT-MARYSVILLE RD,OROVILLE,BUTTE,CA,95965,9,Currently on the,39.47083,-121.5643,33.73,G,9/21/1984,9/4/2003,,completed
CAD009138488,"SPECTRA-PHYSICS, INC.",1250 W MIDDLEFIELD RD,MOUNTAIN VIEW,SANTA CLARA,CA,94042,9,Currently on the,37.40805,-122.0786,37.2,G,2/11/1991,9/16/1992,,completed
CAD009159088,"TRW MICROWAVE, INC (BUILDING 825)",825 STEWART DR,SUNNYVALE,SANTA CLARA,CA,94086,9,Currently on the,37.3846,-122.0085,31.94,G,2/21/1990,9/17/1993,,completed
CAD009205097,RAYTHEON CORP.,350 ELLIS ST,MOUNTAIN VIEW,SANTA CLARA,CA,94043,9,Currently on the,37.3975,-122.0533,29.76,G,6/10/1986,8/24/1999,,completed
CAD009212838,"CTS PRINTEX, INC.",PLYMOUTH & COLONY STS,MOUNTAIN VIEW,SANTA CLARA,CA,94043,9,Currently on the,37.4165,-122.0872,33.62,G,2/21/1990,3/31/1992,,completed
CAD009688052,HALACO ENGINEERING COMPANY,6200 PERKINS,OXNARD,VENTURA,CA,93033,9,Currently on the,34.140722,-119.177778,58.31,G,9/19/2007,10/10/2050,,
CAD020748125,CASMALIA RESOURCES,NTU RD-539 SAN YSIDRO RD,CASMALIA,SANTA BARBARA,CA,93429,9,Currently on the,34.86312,-120.5443,30,G,9/13/2001,10/10/2050,,
CAD029295706,LORENTZ BARREL & DRUM CO.,1515 S 10TH ST,SAN JOSE,SANTA CLARA,CA,95112,9,Currently on the,37.31861,-121.8644,33.94,G,10/4/1989,9/29/1998,,completed
CAD029452141,SELMA TREATING CO.,1735 DOCKERY AVE & ADJOINING,SELMA,FRESNO,CA,93662,9,Currently on the,36.55666,-119.6017,48.83,G,9/8/1983,1/26/2005,,completed
CAD029544731,DEL AMO,DEL AMO BLVD AND VERMONT AVE,LOS ANGELES,LOS ANGELES,CA,90006,9,Currently on the,33.84663,-118.28947,47.12,G,9/5/2002,10/10/2050,,
CAD041472341,INTERSIL INC./SIEMENS COMPONENTS,10900 N TANTAU AVE/19000 HOMESTEAD RD,CUPERTINO,SANTA CLARA,CA,95014,9,Currently on the,37.3361,-122.0015,28.9,G,8/30/1990,9/8/1992,,completed
CAD041472986,NATIONAL SEMICONDUCTOR CORP.,2900 SEMICONDUCTOR AVE,SANTA CLARA,SANTA CLARA,CA,95050,9,Currently on the,37.37528,-121.9989,35.57,G,7/22/1987,10/16/1997,,completed
CAD042245001,OMEGA CHEMICAL CORPORATION,12504 AND 12512 E. WHITTIER BOULEVARD,WHITTIER,LOS ANGELES,CA,90602,9,Currently on the,33.96972,-118.04222,30.94,G,1/19/1999,10/10/2050,,
CAD042728840,APPLIED MATERIALS,3050 BOWERS AVE,SANTA CLARA,SANTA CLARA,CA,95051,9,Currently on the,37.3777,-121.9777,31.94,G,7/22/1987,9/27/1993,,completed
CAD048634059,"ADVANCED MICRO DEVICES, INC.",901 THOMPSON PL,SUNNYVALE,SANTA CLARA,CA,94086,9,Currently on the,37.3825,-122.0086,37.93,G,6/10/1986,9/17/1993,,completed
CAD048645444,BECKMAN INSTRUMENTS (PORTERVILLE PLANT),167 W POPLAR AVE,PORTERVILLE,TULARE,CA,93257,9,Currently on the,36.049,-119.0201,34.21,G,6/10/1986,9/21/1993,,completed
CAD049236201,MONOLITHIC MEMORIES,1165 E ARQUES AVE,SUNNYVALE,SANTA CLARA,CA,94086,9,Currently on the,37.3816,-121.9968,35.57,G,7/22/1987,8/22/1994,,completed
CAD052384021,"BROWN & BRYANT, INC. (ARVIN PLANT)",600 S DERBY RD,ARVIN,KERN,CA,93203,9,Currently on the,35.20306,-118.822,53.36,G,10/4/1989,10/10/2050,,
CAD055753370,COOPER DRUM CO.,9316 ATLANTIC AVE,SOUTH GATE,LOS ANGELES,CA,90280,9,Currently on the,33.94697,-118.17969,50,G,6/14/2001,10/10/2050,,
CAD061620217,INTEL CORP. (MOUNTAIN VIEW PLANT),365 E MIDDLEFIELD RD,MOUNTAIN VIEW,SANTA CLARA,CA,94040,9,Currently on the,37.3962,-122.0566,29.76,G,6/10/1986,8/24/1999,,completed
CAD063015887,COAST WOOD PRESERVING,PLANT RD & TAYLOR DR,UKIAH,MENDOCINO,CA,95482,9,Currently on the,39.1125,-123.193,44.73,G,9/8/1983,10/10/2050,,
CAD063020143,"VALLEY WOOD PRESERVING, INC.",2237 S GOLDEN STATE BLVD,TURLOCK,STANISLAUS,CA,95380,9,Currently on the,37.4727,-120.8239,32.01,G,3/31/1989,8/21/2008,,completed
CAD065021594,LOUISIANA-PACIFIC CORP.,HWY 70 GEORGIA PACIFIC WAY,OROVILLE,BUTTE,CA,95965,9,Deleted from the,39.4743,-121.5703,,G,6/10/1986,10/1/1995,11/21/1996,completed
CAD071530380,FRONTIER FERTILIZER,COUNTY ROAD 32A,DAVIS,YOLO,CA,95618,9,Currently on the,38.55305,-121.67333,35.04,G,5/31/1994,10/10/2050,,
CAD092212497,INTEL MAGNETICS,3000 OAKMEAD VILLAGE DR,SANTA CLARA,SANTA CLARA,CA,95051,9,Currently on the,37.3756,-121.9801,31.94,G,6/10/1986,8/19/1992,,completed
CAD095989778,FAIRCHILD SEMICONDUCTOR CORP. (MOUNTAIN VIE,464 ELLIS ST,MOUNTAIN VIEW,SANTA CLARA,CA,94042,9,Currently on the,37.4012,-122.0542,31.94,G,2/11/1991,8/24/1999,,completed
CAD097012298,FAIRCHILD SEMICONDUCTOR CORP. (SOUTH SAN JO,101 BERNAL ROAD,SAN JOSE,SANTA CLARA,CA,95119,9,Currently on the,37.2326,-121.7748,44.46,G,10/4/1989,3/25/1992,,completed
CAD098229214,ALARK HARD CHROME,2777 MAIN STREET,RIVERSIDE,RIVERSIDE,CA,92501,9,Currently on the,33.99188,-117.36718,50.5,G,12/1/2000,10/10/2050,,
CAD980358832,AEROJET GENERAL CORP.,HWY US 50 & AEROJET RD,RANCHO CORDOV,SACRAMENTO,CA,95670,9,Currently on the,38.60833,-121.2,54.63,G,9/8/1983,10/10/2050,,
CAD980496863,ATLAS ASBESTOS MINE,LOS GATOS CREEK RD NW OF FRESNO,COALINGA,FRESNO,CA,93210,9,Currently on the,36.32166,-120.5867,45.55,G,9/21/1984,9/2/1999,,completed
CAD980498455,CRAZY HORSE SANITARY LANDFILL,350 CRAZY HORSE CANYON ROAD,SALINAS,MONTEREY,CA,93907,9,Currently on the,36.8026,-121.6186,37.93,G,8/30/1990,10/10/2050,,
CAD980498612,IRON MOUNTAIN MINE,OFF HWY 299 9 MI NW OF,REDDING,SHASTA,CA,96001,9,Currently on the,40.67166,-122.5278,56.16,G,9/8/1983,10/10/2050,,
CAD980498695,MCCOLL,ROSECRANS & SUNNY RIDGE,FULLERTON,ORANGE,CA,92833,9,Currently on the,33.8953,-117.9712,41.77,G,9/8/1983,6/30/1998,,completed
CAD980636781,PACIFIC COAST PIPE LINES,67 E TELEGRAPH RD,FILLMORE,VENTURA,CA,93015,9,Currently on the,34.40416,-118.9028,46.01,G,10/4/1989,9/27/1996,,completed
CAD980636914,FRESNO MUNICIPAL SANITARY LANDFILL,SW COR OF JENSEN & W AVE,FRESNO,FRESNO,CA,93706,9,Currently on the,36.70416,-119.8261,35.57,G,10/4/1989,10/10/2050,,
CAD980638860,CELTOR CHEMICAL WORKS,BETW NORTON FLD & TRINITY RIV,HOOPA,HUMBOLDT,CA,95546,9,Deleted from the,41.1027,-123.6911,,G,7/15/1983,9/29/1989,9/30/2003,completed
CAD980673685,LEVIATHAN MINE,LEVIATHAN MINE,MARKLEEVILLE,ALPINE,CA,96120,9,Currently on the,38.70388,-119.65611,50,G,5/11/2000,10/10/2050,,
CAD980677355,SAN GABRIEL VALLEY (AREA 1),PECK RD & REAL,EL MONTE,LOS ANGELES,CA,91733,9,Currently on the,34.125,-118,42.24,G,5/8/1984,10/10/2050,,
CAD980736151,"PURITY OIL SALES, INC.",3265 S MAPLE AVE,MALAGA,FRESNO,CA,93725,9,Currently on the,36.6874,-119.7467,43.27,G,9/8/1983,9/28/2012,,completed
